Data de Cancelamento,Nome da Academia,Cidade,Sexo,Esporte,Justificativa do Cancelamento
2023-03-24,Power Girls,Setubal,F,Yoga,Falta de interesse
2023-03-24,Power Girls,Setubal,M,Musculação,Mudança de cidade
2023-03-25,Power Girls,Gondomar,M,Musculação,Mudança de cidade
2023-04-03,Power Girls,Setubal,M,Musculação,Mudança de cidade
2023-04-10,Power Girls,Setubal,M,Ciclyn,Falta de interesse
2023-04-11,Power Girls,Setubal,F,Musculação,Problemas financeiros
2023-04-11,Power Girls,Matosinhos,F,Musculação,Mudança de cidade
2023-04-15,Power Girls,Matosinhos,F,Yoga,Problemas financeiros
2023-04-16,Power Girls,Espinho,M,Musculação,Problemas financeiros
2023-04-16,Power Girls,Gondomar,M,Ciclyn,Mudança de cidade
2023-04-17,Power Girls,Espinho,F,Ciclyn,Problemas financeiros
2023-04-18,Power Girls,Setubal,F,Musculação,Problemas financeiros
2023-04-21,Power Girls,Espinho,M,Yoga,Mudança de cidade
2023-04-30,Power Girls,Gondomar,F,Ciclyn,Problemas financeiros
2023-05-01,Power Girls,Matosinhos,M,Ciclyn,Mudança de cidade
2023-05-03,Power Girls,Gondomar,F,Musculação,Problemas financeiros
2023-05-07,Power Girls,Gondomar,M,Ciclyn,Falta de interesse
2023-05-09,Power Girls,Espinho,F,Yoga,Problemas financeiros
2023-05-11,Power Girls,Setubal,F,Musculação,Mudança de cidade
2023-05-12,Power Girls,Setubal,F,Ciclyn,Falta de interesse
2023-05-13,Power Girls,Setubal,M,Yoga,Falta de interesse
2023-05-13,Power Girls,Matosinhos,F,Yoga,Falta de interesse
2023-05-13,Power Girls,Espinho,F,Yoga,Falta de interesse
2023-05-16,Power Girls,Setubal,F,Musculação,Falta de interesse
2023-05-17,Power Girls,Gondomar,F,Yoga,Problemas financeiros
2023-05-18,Power Girls,Matosinhos,M,Ciclyn,Problemas financeiros
2023-05-19,Power Girls,Espinho,M,Musculação,Mudança de cidade
2023-05-19,Power Girls,Espinho,F,Musculação,Mudança de cidade
2023-05-25,Power Girls,Gondomar,F,Ciclyn,Problemas financeiros
2023-05-27,Power Girls,Gondomar,F,Yoga,Falta de interesse
2023-05-28,Power Girls,Espinho,F,Musculação,Problemas financeiros
2023-05-31,Power Girls,Setubal,M,Ciclyn,Problemas financeiros
2023-06-06,Power Girls,Espinho,M,Yoga,Problemas financeiros
2023-06-11,Power Girls,Matosinhos,F,Ciclyn,Falta de interesse
2023-06-12,Power Girls,Gondomar,F,Yoga,Mudança de cidade
2023-06-13,Power Girls,Setubal,M,Ciclyn,Falta de interesse
2023-06-13,Power Girls,Setubal,M,Yoga,Mudança de cidade
2023-06-14,Power Girls,Setubal,M,Ciclyn,Problemas financeiros
2023-06-17,Power Girls,Espinho,M,Ciclyn,Problemas financeiros
2023-06-17,Power Girls,Gondomar,M,Musculação,Mudança de cidade
2023-06-19,Power Girls,Gondomar,M,Ciclyn,Problemas financeiros
2023-06-25,Power Girls,Espinho,F,Yoga,Mudança de cidade
2023-06-26,Power Girls,Gondomar,F,Yoga,Mudança de cidade
2023-06-30,Power Girls,Setubal,F,Musculação,Mudança de cidade
2023-07-02,Power Girls,Setubal,F,Musculação,Mudança de cidade
2023-07-02,Power Girls,Gondomar,F,Yoga,Mudança de cidade
2023-07-07,Power Girls,Matosinhos,F,Ciclyn,Mudança de cidade
2023-07-08,Power Girls,Espinho,M,Yoga,Problemas financeiros
2023-07-09,Power Girls,Espinho,M,Ciclyn,Falta de interesse
2023-07-10,Power Girls,Espinho,M,Musculação,Falta de interesse
2023-07-12,Power Girls,Setubal,F,Yoga,Mudança de cidade
2023-07-13,Power Girls,Setubal,F,Ciclyn,Mudança de cidade
2023-07-13,Power Girls,Matosinhos,M,Yoga,Falta de interesse
2023-07-14,Power Girls,Matosinhos,F,Yoga,Falta de interesse
2023-07-18,Power Girls,Setubal,F,Ciclyn,Problemas financeiros
2023-07-20,Power Girls,Gondomar,F,Yoga,Mudança de cidade
2023-07-21,Power Girls,Gondomar,F,Ciclyn,Falta de interesse
2023-07-22,Power Girls,Gondomar,F,Yoga,Mudança de cidade
2023-07-23,Power Girls,Matosinhos,F,Ciclyn,Mudança de cidade
2023-07-25,Power Girls,Espinho,F,Musculação,Falta de interesse
2023-07-26,Power Girls,Setubal,M,Musculação,Mudança de cidade
2023-07-28,Power Girls,Gondomar,F,Ciclyn,Problemas financeiros
2023-07-30,Power Girls,Gondomar,F,Ciclyn,Falta de interesse
2023-08-02,Power Girls,Setubal,M,Yoga,Mudança de cidade
2023-08-03,Power Girls,Espinho,M,Yoga,Falta de interesse
2023-08-03,Power Girls,Gondomar,M,Ciclyn,Problemas financeiros
2023-08-06,Power Girls,Matosinhos,F,Musculação,Falta de interesse
2023-08-07,Power Girls,Matosinhos,F,Musculação,Problemas financeiros
2023-08-08,Power Girls,Espinho,M,Yoga,Falta de interesse
2023-08-15,Power Girls,Gondomar,M,Musculação,Mudança de cidade
2023-08-16,Power Girls,Matosinhos,F,Ciclyn,Falta de interesse
2023-08-18,Power Girls,Matosinhos,M,Ciclyn,Problemas financeiros
2023-08-25,Power Girls,Setubal,F,Musculação,Problemas financeiros
2023-08-26,Power Girls,Gondomar,F,Musculação,Problemas financeiros
2023-08-30,Power Girls,Espinho,M,Musculação,Mudança de cidade
2023-09-04,Power Girls,Gondomar,F,Yoga,Problemas financeiros
2023-09-04,Power Girls,Gondomar,F,Ciclyn,Mudança de cidade
2023-09-06,Power Girls,Gondomar,M,Yoga,Problemas financeiros
2023-09-10,Power Girls,Gondomar,F,Yoga,Mudança de cidade
2023-09-15,Power Girls,Espinho,F,Ciclyn,Mudança de cidade
2023-09-16,Power Girls,Espinho,M,Yoga,Problemas financeiros
2023-09-17,Power Girls,Gondomar,F,Ciclyn,Mudança de cidade
2023-09-17,Power Girls,Gondomar,F,Yoga,Problemas financeiros
2023-09-20,Power Girls,Setubal,M,Musculação,Problemas financeiros
2023-09-24,Power Girls,Espinho,M,Musculação,Problemas financeiros
2023-09-24,Power Girls,Matosinhos,M,Yoga,Problemas financeiros
2023-09-26,Power Girls,Gondomar,F,Yoga,Mudança de cidade
2023-09-27,Power Girls,Espinho,F,Musculação,Mudança de cidade
2023-09-30,Power Girls,Setubal,F,Musculação,Falta de interesse
2023-09-30,Power Girls,Gondomar,F,Yoga,Falta de interesse
2023-10-02,Power Girls,Espinho,M,Yoga,Problemas financeiros
2023-10-09,Power Girls,Matosinhos,M,Musculação,Problemas financeiros
2023-10-10,Power Girls,Matosinhos,M,Ciclyn,Problemas financeiros
2023-10-10,Power Girls,Matosinhos,F,Yoga,Falta de interesse
2023-10-11,Power Girls,Matosinhos,M,Musculação,Mudança de cidade
2023-10-14,Power Girls,Espinho,M,Musculação,Falta de interesse
2023-10-20,Power Girls,Espinho,M,Ciclyn,Mudança de cidade
2023-10-20,Power Girls,Matosinhos,F,Musculação,Falta de interesse
2023-10-24,Power Girls,Espinho,F,Yoga,Falta de interesse
2023-10-24,Power Girls,Matosinhos,M,Musculação,Problemas financeiros
2023-10-26,Power Girls,Setubal,M,Musculação,Problemas financeiros
2023-10-27,Power Girls,Matosinhos,M,Ciclyn,Problemas financeiros
2023-10-30,Power Girls,Espinho,F,Musculação,Falta de interesse
2023-11-01,Power Girls,Setubal,M,Ciclyn,Falta de interesse
2023-11-01,Power Girls,Espinho,F,Musculação,Mudança de cidade
2023-11-02,Power Girls,Matosinhos,M,Yoga,Mudança de cidade
2023-11-03,Power Girls,Espinho,F,Ciclyn,Falta de interesse
2023-11-03,Power Girls,Setubal,F,Yoga,Mudança de cidade
2023-11-04,Power Girls,Gondomar,F,Yoga,Falta de interesse
2023-11-07,Power Girls,Matosinhos,F,Ciclyn,Falta de interesse
2023-11-08,Power Girls,Gondomar,M,Ciclyn,Problemas financeiros
2023-11-09,Power Girls,Matosinhos,M,Yoga,Mudança de cidade
2023-11-13,Power Girls,Gondomar,M,Musculação,Problemas financeiros
2023-11-14,Power Girls,Gondomar,M,Yoga,Mudança de cidade
2023-11-14,Power Girls,Matosinhos,M,Ciclyn,Problemas financeiros
2023-11-15,Power Girls,Matosinhos,M,Musculação,Problemas financeiros
2023-11-19,Power Girls,Espinho,M,Musculação,Mudança de cidade
2023-11-21,Power Girls,Setubal,F,Ciclyn,Mudança de cidade
2023-11-22,Power Girls,Espinho,F,Ciclyn,Mudança de cidade
2023-11-28,Power Girls,Espinho,M,Musculação,Mudança de cidade
2023-12-02,Power Girls,Setubal,F,Yoga,Problemas financeiros
2023-12-03,Power Girls,Setubal,F,Musculação,Falta de interesse
2023-12-05,Power Girls,Setubal,M,Yoga,Mudança de cidade
2023-12-06,Power Girls,Gondomar,M,Ciclyn,Mudança de cidade
2023-12-07,Power Girls,Gondomar,M,Yoga,Mudança de cidade
2023-12-10,Power Girls,Matosinhos,M,Yoga,Mudança de cidade
2023-12-15,Power Girls,Matosinhos,F,Ciclyn,Mudança de cidade
2023-12-19,Power Girls,Matosinhos,F,Yoga,Mudança de cidade
2023-12-21,Power Girls,Espinho,M,Musculação,Mudança de cidade
2023-12-22,Power Girls,Espinho,F,Ciclyn,Falta de interesse
2023-12-23,Power Girls,Matosinhos,M,Musculação,Mudança de cidade
2023-12-24,Power Girls,Setubal,M,Ciclyn,Mudança de cidade
2023-12-24,Power Girls,Gondomar,F,Ciclyn,Falta de interesse
2023-12-25,Power Girls,Espinho,F,Yoga,Problemas financeiros
2023-12-27,Power Girls,Matosinhos,F,Ciclyn,Falta de interesse
2024-01-01,Power Girls,Matosinhos,F,Yoga,Problemas financeiros
2024-01-03,Power Girls,Setubal,F,Yoga,Falta de interesse
2024-01-05,Power Girls,Espinho,M,Yoga,Problemas financeiros
2024-01-07,Power Girls,Espinho,F,Yoga,Mudança de cidade
2024-01-08,Power Girls,Espinho,M,Yoga,Problemas financeiros
2024-01-08,Power Girls,Espinho,M,Musculação,Problemas financeiros
2024-01-09,Power Girls,Setubal,M,Yoga,Problemas financeiros
2024-01-17,Power Girls,Matosinhos,F,Musculação,Mudança de cidade
2024-01-23,Power Girls,Matosinhos,F,Ciclyn,Problemas financeiros
2024-01-26,Power Girls,Gondomar,F,Yoga,Mudança de cidade
2024-01-26,Power Girls,Setubal,F,Musculação,Mudança de cidade
2024-01-29,Power Girls,Gondomar,F,Ciclyn,Mudança de cidade
2024-01-30,Power Girls,Gondomar,M,Ciclyn,Problemas financeiros
2024-02-01,Power Girls,Gondomar,F,Musculação,Falta de interesse
2024-02-04,Power Girls,Espinho,M,Musculação,Mudança de cidade
2024-02-05,Power Girls,Gondomar,F,Yoga,Falta de interesse
2024-02-09,Power Girls,Setubal,M,Ciclyn,Mudança de cidade
2024-02-10,Power Girls,Gondomar,M,Musculação,Mudança de cidade
2024-02-11,Power Girls,Setubal,M,Ciclyn,Mudança de cidade
2024-02-13,Power Girls,Espinho,F,Yoga,Problemas financeiros
2024-02-17,Power Girls,Matosinhos,F,Musculação,Mudança de cidade
2024-02-18,Power Girls,Espinho,F,Ciclyn,Problemas financeiros
2024-02-18,Power Girls,Matosinhos,M,Yoga,Mudança de cidade
2024-02-24,Power Girls,Espinho,M,Musculação,Falta de interesse
2024-02-27,Power Girls,Gondomar,M,Yoga,Mudança de cidade
2024-02-27,Power Girls,Gondomar,M,Yoga,Problemas financeiros
2024-03-01,Power Girls,Matosinhos,F,Ciclyn,Falta de interesse
2024-03-06,Power Girls,Espinho,M,Yoga,Falta de interesse
2024-03-07,Power Girls,Setubal,F,Yoga,Mudança de cidade
2024-03-08,Power Girls,Setubal,M,Yoga,Mudança de cidade
2024-03-11,Power Girls,Gondomar,F,Yoga,Mudança de cidade
2024-03-14,Power Girls,Gondomar,M,Musculação,Problemas financeiros
2024-03-15,Power Girls,Setubal,M,Ciclyn,Problemas financeiros
2024-03-16,Power Girls,Gondomar,M,Ciclyn,Problemas financeiros
2024-03-17,Power Girls,Setubal,M,Yoga,Problemas financeiros
2024-03-19,Power Girls,Matosinhos,F,Yoga,Mudança de cidade
2024-03-22,Power Girls,Gondomar,F,Ciclyn,Mudança de cidade
2024-03-22,Power Girls,Matosinhos,M,Ciclyn,Falta de interesse
2024-03-27,Power Girls,Setubal,F,Musculação,Problemas financeiros
2024-03-28,Power Girls,Espinho,M,Musculação,Falta de interesse
2024-03-29,Power Girls,Gondomar,F,Musculação,Mudança de cidade
2024-03-30,Power Girls,Espinho,F,Musculação,Falta de interesse
2024-03-31,Power Girls,Matosinhos,M,Ciclyn,Mudança de cidade
2024-04-01,Power Girls,Setubal,F,Musculação,Falta de interesse
2024-04-03,Power Girls,Matosinhos,F,Ciclyn,Problemas financeiros
2024-04-04,Power Girls,Espinho,F,Musculação,Problemas financeiros
2024-04-05,Power Girls,Setubal,M,Musculação,Problemas financeiros
2024-04-06,Power Girls,Setubal,F,Yoga,Falta de interesse
2024-04-07,Power Girls,Setubal,F,Ciclyn,Problemas financeiros
2024-04-07,Power Girls,Setubal,M,Yoga,Mudança de cidade
2024-04-14,Power Girls,Espinho,F,Ciclyn,Mudança de cidade
2024-04-18,Power Girls,Espinho,M,Ciclyn,Mudança de cidade
2024-04-19,Power Girls,Gondomar,M,Musculação,Falta de interesse
2024-04-19,Power Girls,Espinho,F,Yoga,Problemas financeiros
2024-04-21,Power Girls,Espinho,M,Yoga,Falta de interesse
2024-04-22,Power Girls,Setubal,M,Yoga,Mudança de cidade
2024-04-23,Power Girls,Setubal,F,Yoga,Problemas financeiros
2024-04-24,Power Girls,Matosinhos,F,Musculação,Falta de interesse
2024-04-25,Power Girls,Matosinhos,M,Musculação,Falta de interesse
2024-04-29,Power Girls,Setubal,F,Ciclyn,Falta de interesse
2024-05-01,Power Girls,Espinho,F,Yoga,Problemas financeiros
2024-05-01,Power Girls,Setubal,F,Yoga,Falta de interesse
2024-05-02,Power Girls,Setubal,M,Ciclyn,Problemas financeiros
2024-05-04,Power Girls,Espinho,F,Ciclyn,Falta de interesse
2024-05-06,Power Girls,Gondomar,M,Musculação,Falta de interesse
2024-05-07,Power Girls,Espinho,M,Musculação,Problemas financeiros
2024-05-13,Power Girls,Setubal,M,Yoga,Problemas financeiros
2024-05-14,Power Girls,Matosinhos,F,Yoga,Problemas financeiros
2024-05-16,Power Girls,Matosinhos,M,Ciclyn,Falta de interesse
2024-05-16,Power Girls,Setubal,M,Ciclyn,Problemas financeiros
2024-05-18,Power Girls,Matosinhos,F,Ciclyn,Falta de interesse
2024-05-22,Power Girls,Espinho,F,Yoga,Mudança de cidade
2024-05-23,Power Girls,Gondomar,M,Yoga,Falta de interesse
2024-05-26,Power Girls,Gondomar,M,Yoga,Falta de interesse
2024-05-28,Power Girls,Setubal,M,Ciclyn,Falta de interesse
2024-05-29,Power Girls,Gondomar,F,Ciclyn,Mudança de cidade
2024-05-31,Power Girls,Gondomar,M,Ciclyn,Falta de interesse
2024-06-04,Power Girls,Matosinhos,F,Yoga,Mudança de cidade
2024-06-05,Power Girls,Matosinhos,F,Musculação,Falta de interesse
2024-06-06,Power Girls,Matosinhos,M,Ciclyn,Falta de interesse
2024-06-08,Power Girls,Setubal,F,Yoga,Mudança de cidade
2024-06-10,Power Girls,Gondomar,M,Musculação,Mudança de cidade
2024-06-10,Power Girls,Setubal,M,Musculação,Problemas financeiros
2024-06-12,Power Girls,Espinho,F,Ciclyn,Falta de interesse
2024-06-13,Power Girls,Setubal,M,Ciclyn,Mudança de cidade
2024-06-14,Power Girls,Setubal,M,Yoga,Mudança de cidade
2024-06-15,Power Girls,Gondomar,F,Musculação,Falta de interesse
2024-06-16,Power Girls,Gondomar,M,Yoga,Mudança de cidade
2024-06-22,Power Girls,Espinho,M,Musculação,Mudança de cidade
2024-06-27,Power Girls,Espinho,F,Ciclyn,Problemas financeiros
2024-06-29,Power Girls,Espinho,F,Ciclyn,Falta de interesse
2024-06-29,Power Girls,Gondomar,F,Yoga,Falta de interesse
2024-06-30,Power Girls,Espinho,F,Ciclyn,Falta de interesse
